user_id,username,age,gender,location,demographics
U0068,classicalbuff846,57,Male,"Seoul, South Korea",artist
U0069,playlist_pro383,68,Non-binary,"Seattle, USA",marketing
U0070,latinrhythm148,30,Prefer not to say,"Miami, USA",professional
U0071,beatmaster40,26,Non-binary,"Copenhagen, Denmark",service industry
U0072,streamingstar153,56,Female,"Rome, Italy",non-profit worker
U0073,folkie167,43,Non-binary,"Manchester, UK",engineering
U0074,headbanger849,50,Prefer not to say,"Auckland, New Zealand",government employee
U0075,metalmaniac487,70,Male,"Bangkok, Thailand",engineering
U0076,hiphopqueen113,44,Non-binary,"Johannesburg, South Africa",student
U0077,countrygirl486,34,Female,"Johannesburg, South Africa",professional
U0078,rapfan492,28,Prefer not to say,"Mexico City, Mexico",hospitality
U0079,beatmaster587,62,Male,"Shanghai, China",student
U0080,vinylcollector322,44,Female,"Vienna, Austria",tech industry
U0081,albumartist514,67,Prefer not to say,"Buenos Aires, Argentina",professional
U0082,folkfan142,51,Female,"Seattle, USA",engineering
U0083,classicalking490,51,Prefer not to say,"Rome, Italy",healthcare worker
U0084,streamingstar935,52,Non-binary,"Nashville, USA",marketing
U0085,hiphopqueen791,64,Non-binary,"Edinburgh, UK",creative industry
U0086,harmonyhunter981,33,Non-binary,"Seattle, USA",finance
U0087,rockstar965,37,Non-binary,"Auckland, New Zealand",tech industry
U0088,metalhead722,49,Non-binary,"Copenhagen, Denmark",marketing
U0089,dancepartner957,68,Non-binary,"Moscow, Russia",artist
U0090,electronica693,52,Prefer not to say,"Oslo, Norway",marketing
U0091,kpopfanatic824,27,Non-binary,"London, UK",finance
U0092,folkfan81,40,Prefer not to say,"Milan, Italy",retail
U0093,reggaeking491,31,Female,"Nashville, USA",retail
U0094,dancepartner713,35,Female,"Sydney, Australia",non-profit worker
U0095,reggaeking601,33,Female,"Tokyo, Japan",service industry
U0096,rockstar654,32,Male,"Sydney, Australia",entrepreneur
U0097,bluesbrother735,48,Male,"Kyoto, Japan",teacher
U0098,musiclover988,53,Female,"Vienna, Austria",creative industry
U0099,charttopper667,30,Non-binary,"Rome, Italy",finance
U0100,jazzmaster61,67,Male,"Milan, Italy",government employee
U0101,rockstar548,65,Male,"Mumbai, India",entrepreneur
U0102,groovemaster957,20,Prefer not to say,"Chicago, USA",healthcare worker
U0103,reggaeking986,36,Male,"New York, USA",finance
U0104,electronica618,24,Non-binary,"Moscow, Russia",retired
U0105,jazzmaster557,51,Prefer not to say,"Seoul, South Korea",service industry
U0106,streamingstar280,30,Male,"Athens, Greece",healthcare worker
U0107,bluesqueen470,59,Non-binary,"Auckland, New Zealand",healthcare worker
U0108,musiclover755,39,Non-binary,"Vancouver, Canada",tech industry
U0109,groovemaster626,58,Prefer not to say,"Helsinki, Finland",service industry
U0110,folkie89,43,Male,"Mumbai, India",teacher
U0111,charttopper332,33,Male,"Dubai, UAE",education
U0112,popfan458,66,Non-binary,"Athens, Greece",finance
U0113,rapfan741,54,Male,"Dubai, UAE",marketing
U0114,metalhead242,21,Male,"Brussels, Belgium",finance
U0115,djmixer416,61,Non-binary,"Melbourne, Australia",artist
U0116,rockon939,36,Non-binary,"Edinburgh, UK",hospitality
U0117,rockstar981,26,Prefer not to say,"Mexico City, Mexico",retired
U0118,reggaeking621,41,Prefer not to say,"Melbourne, Australia",freelancer
U0119,charttopper776,52,Female,"Santiago, Chile",hospitality
U0120,hiphopqueen773,56,Male,"Austin, USA",retired
U0121,soulseeker721,41,Male,"Vancouver, Canada",artist
U0122,melodymaker849,53,Female,"Vancouver, Canada",freelancer
U0123,vocalista169,38,Prefer not to say,"Toronto, Canada",tech industry
U0124,folkfan598,49,Male,"Miami, USA",retired
